Name,CNPJ,Management Fee,Minimum Investment,Performance Fee,Portfolio Manager,Liquidity Ratios,age_months,CVM Category_Fixed Income,CVM Category_Multimarket,CVM Category_Equities,CVM Category_FX,Tax Classification_Exempt,Tax Classification_Long Term,Tax Classification_Short Term,Private Credit Anbima_Not applicable,Private Credit Anbima_Yes,Leveraged Anbima_Yes,Performance Fee Reference Index_100% do IBX,Performance Fee Reference Index_100% do Ibovespa,Performance Fee Reference Index_Other_performance_fee,Performance Fee Reference Index_There is not,Benchmark_Dollar,Benchmark_IBX,Benchmark_IMA-B,Benchmark_Ibovespa,Benchmark_Not Informed,Benchmark_Other_Benchmark,Last_Assets,Last_Assets_date,Assets_Flow_6m,Assets_Flow_12m,Assets_Flow_24m,Average_Assets_6m,Average_Assets_12m,Average_Assets_24m,Return_6m,Return_12m,Return_24m,Volatility_6m,Volatility_12m,Volatility_24m,Excess_Return_-_CDI_Opening_6m,Excess_Return_-_CDI_Opening_12m,Excess_Return_-_CDI_Opening_24m,Excess_Return_-_Ibovespa_6m,Excess_Return_-_Ibovespa_12m,Excess_Return_-_Ibovespa_24m,Excess_Return_-_Dollar_6m,Excess_Return_-_Dollar_12m,Excess_Return_-_Dollar_24m,#_Funds_managed,Manager_avg_Assets,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
BRADESCO PRIVATE ALAVANCADO IBOVESPA FI AÇÕES,00.463.569/0001-93,0.02,20000,0.0,Luis Guedes Ferreira Costa,4,286,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,23962246.37,2019-01-31 00:00:00,-116862.28,-125886.09,-99377.59,21300713.9,20958019.43,19033613.0,0.201083541235,0.142202037719,0.5353617862169999,0.222894820277,0.215781681265,0.213226045875,0.16959594285,0.077832792247,0.368712380158,-0.028318268374,-0.007692038894999999,0.056113001284,0.228514364958,-0.011454572611,0.381486466301,41.0,137068707.4668293,1,6,1,3,6
BRADESCO PRODUZIR BAHIA III FIC RENDA FIXA REFERENCIADO DI,07.667.250/0001-29,0.025,0,0.0,Ricardo Pereira de Almeida,0,152,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15597084.12,2019-02-01 00:00:00,-50419.12,2534757.45,-1021398.75,15844206.58,14780521.74,12875843.22,0.018089789730000003,0.03640792189,0.10557683379499999,1.5708626e-05,5.4507023e-05,0.001235649618,-0.013397808656,-0.027961323582,-0.061072572264,-0.211312019879,-0.113486154724,-0.37367195113799995,0.045520613453,-0.11724868844,-0.048298486120000005,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO S&P 500 MAIS FI MULTIMERCADO,18.079.540/0001-78,0.015,10000,0.2,André Nogueira Fontenele,4,62,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,127235907.21,2019-01-31 00:00:00,-19155977.32,-81158307.16,93850912.21,145886861.22,160557982.92,116582559.87,-0.024841940334,-0.030441628545,0.278839409964,0.162574558146,0.159767286732,0.122948290898,-0.056329538719,-0.094810874018,0.112190003905,-0.25424374994300003,-0.18033570515900002,-0.200409374969,0.0025888833900000003,-0.184098238876,0.12496409004899998,22.0,249111850.80500004,-1,3,2,0,1
BRADESCO SAFIRA FIC RENDA FIXA REFERENCIADO DI,04.237.569/0001-26,0.025,100,0.0,Ricardo Pereira de Almeida,0,211,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,160268099.95,2019-02-01 00:00:00,-228119990.46,-499643542.02,-447825795.51,160133616.78,368003580.97,481110260.9,0.018103665092,0.035618988080000004,0.09624596767000002,0.00011332323,0.000184409412,0.001080283768,-0.013383933293000002,-0.028750257392000003,-0.070403438389,-0.211298144517,-0.114275088534,-0.383002817263,0.045534488815,-0.11803762225,-0.057629352245,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO SATURNO FIC RENDA FIXA,01.197.545/0001-00,0.015,20000,0.0,Ricardo Pereira de Almeida,0,174,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,454262724.25,2019-02-01 00:00:00,-72728455.17,-106853896.96,-89893266.27,487591049.48,508735333.82,521735001.96,0.024987618632,0.049626929781,0.140988101399,0.0008876349880000002,0.001821575955,0.003819421005,-0.006499979754000001,-0.014742315691,-0.025661304660999997,-0.204414190977,-0.100267146833,-0.338260683535,0.052418442355,-0.104029680549,-0.012887218517,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO SELEÇÃO ESTRATÉGICA FI MULTIMERCADO,09.241.809/0001-80,0.02,100000,0.2,André Nogueira Fontenele,4,133,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11325385.3,2019-01-31 00:00:00,-1581285.43,-7638693.83,-16663453.94,12179465.84,13113718.37,17805515.97,0.019245465153,0.060175951584,0.10509991122,0.004283990170000001,0.012616236225,0.034964905216,-0.012242133232,-0.004193293888,-0.06154949483900001,-0.21015634445599998,-0.08971812503000001,-0.374148873713,0.046676288877,-0.093480658746,-0.048775408695,22.0,249111850.80500004,0,2,2,0,1
BRADESCO SELECTION FI AÇÕES,03.660.879/0001-96,0.015,20000,0.0,Luis Guedes Ferreira Costa,4,226,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,500494820.86,2019-01-31 00:00:00,264282025.43,398131307.73,400717463.07,296613941.24,185737726.14,106448457.77,0.21948264747700005,0.19140913279199998,0.6169601270480001,0.225504812922,0.212224480812,0.21173588777,0.18799504909200002,0.12703988732000002,0.450310720988,-0.009919162132,0.041515056178,0.137711342114,0.246913471201,0.037752522462,0.463084807132,41.0,137068707.4668293,1,6,1,3,6
BRADESCO SKY FI RENDA FIXA REFERENCIADO DI,04.831.907/0001-53,0.0045000000000000005,20000,0.0,Ricardo Pereira de Almeida,0,203,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,195072236.12,2019-02-01 00:00:00,-11644541.59,-58798283.01,-52246477.29,228046790.99,215977429.41,223933861.21,0.029380185873,0.059702567951,0.160251202193,0.000116800512,0.000124768676,0.001356635213,-0.002107412513,-0.004666677522,-0.006398203866,-0.200021623736,-0.090191508664,-0.31899758274,0.056811009595999995,-0.09395404238,0.006375882277,85.0,1103907477.1732938,3,1,4,2,2
BRADESCO SMALL CAP PLUS FI AÇÕES,06.988.623/0001-09,0.015,20000,0.0,Luis Guedes Ferreira Costa,4,172,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,487944754.93,2019-01-31 00:00:00,158601914.96,136835464.92,234487578.24,298620855.58,286012568.71,240248927.65,0.295892298662,0.272016495379,0.717216945951,0.185868094385,0.186394447255,0.180761416842,0.26440470027699997,0.20764724990699998,0.550567539892,0.066490489053,0.12212241876499999,0.23796816101799997,0.32332312238600003,0.118359885049,0.563341626036,41.0,137068707.4668293,1,0,1,3,3
BRADESCO SML FIC AÇÕES,08.246.279/0001-08,0.035,500,0.0,Luis Guedes Ferreira Costa,4,142,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4604899.89,2019-01-31 00:00:00,-603558.69,-231918.02,-717680.88,4275843.67,4351258.55,3996286.04,0.199812345203,0.202424861719,0.45882461357500004,0.189815339265,0.185344394539,0.178880683525,0.168324746818,0.13805561624600002,0.292175207516,-0.029589464405999997,0.052530785104,-0.020424171358,0.22724316892700003,0.048768251388,0.30494929366,41.0,137068707.4668293,1,6,1,3,6
BRADESCO SPECIAL FIC RENDA FIXA REFERENCIADO DI,60.906.179/0001-72,0.005,1000000,0.0,Ricardo Pereira de Almeida,0,355,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30678811333.87,2019-02-01 00:00:00,-3236330805.54,-4552551798.46,-853278538.9,32127738510.26,32440719399.53,31990178396.08,0.029478520537,0.060030730383,0.1610116463,9.613674e-05,0.000130143796,0.0013785350299999998,-0.002009077848,-0.004338515089,-0.005637759758999999,-0.199923289072,-0.089863346231,-0.318237138633,0.056909344261,-0.093625879947,0.007136326385,85.0,1103907477.1732938,-1,5,4,1,8
BRADESCO SUPER AÇÃO FI AÇÕES,71.739.445/0001-36,0.008,10000,0.0,Luis Guedes Ferreira Costa,4,297,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,16825442.45,2019-01-31 00:00:00,-79353.77,-230891.5,-329653.28,15068547.09,14857872.72,13412558.77,0.192950610853,0.14072832027999999,0.582364609857,0.221893634021,0.21458904078,0.211900598086,0.161463012468,0.076359074808,0.415715203798,-0.036451198756,-0.009165756334,0.103115824924,0.220381434577,-0.01292829005,0.428489289941,41.0,137068707.4668293,1,6,1,3,6
BRADESCO TARGET I FI RENDA FIXA,02.335.944/0001-45,0.003,300000,0.0,Ricardo Pereira de Almeida,0,246,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1082649754.14,2019-02-01 00:00:00,-25792684.25,456225143.52,478253460.46,985493521.73,951908240.51,746230717.69,0.03369571375,0.06581513802,0.172009466193,0.003234595633,0.002964576182,0.0034752145420000003,0.002208115365,0.001445892548,0.005360060134,-0.195706095859,-0.08407893859400001,-0.30723931874000004,0.061126537474,-0.08784147231,0.018134146278,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO TEAM FI MULTIMERCADO,03.553.574/0001-85,0.005,100000,0.0,André Nogueira Fontenele,1,221,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9086527.43,2019-01-31 00:00:00,-2822415.64,-6483528.29,377277.46,10284695.51,12891002.61,10337165.8,0.034008374804,0.074738226487,0.23379293696400005,0.0037803879100000003,0.014097031196,0.034290830005,0.002520776419,0.010368981015,0.067143530904,-0.195393434805,-0.075155850127,-0.24545584796999997,0.061439198528000005,-0.078918383843,0.079917617048,22.0,249111850.80500004,0,2,2,0,1
BRADESCO TÍTULOS DO TESOURO FIC RENDA FIXA,13.401.188/0001-21,0.015,5000,0.0,Ricardo Pereira de Almeida,1,85,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,531785365.11,2019-01-31 00:00:00,-9066070.64,-111141554.78,101845154.9,478491624.54,531234887.1,573322039.85,0.072991540984,0.088484970681,0.214245836415,0.029336518857,0.029799292834000006,0.040466265634,0.041503942598,0.024115725209,0.047596430355000004,-0.15641026862500002,-0.061409105932999995,-0.265002948519,0.100422364707,-0.065171639649,0.060370516499000014,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO TOPÁZIO FIC RENDA FIXA REFERENCIADO DI,05.983.641/0001-27,0.015,5000,0.0,Ricardo Pereira de Almeida,0,177,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1015995972.33,2019-02-01 00:00:00,-45308242.91,14654271.87,426081767.09,1046080145.78,1026559437.71,904813771.52,0.02345240065,0.047722841404,0.131344561033,0.000107834187,0.000106558958,0.0012585784259999998,-0.008035197735000001,-0.016646404068,-0.035304845025999995,-0.205949408959,-0.10217123521,-0.34790422390099995,0.050883224374,-0.105933768926,-0.022530758883,85.0,1103907477.1732938,0,1,4,2,2
BRADESCO VALE FI AÇÕES,04.882.617/0001-39,0.015,1000,0.0,Luis Guedes Ferreira Costa,4,203,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,259424312.99,2019-01-31 00:00:00,-29127846.47,-46677864.22,-71022361.57,333669896.55,318545191.1,270177139.96,-0.156420927618,0.107669559648,0.399213309195,0.49591674195600005,0.418256556671,0.39081387315,-0.187908526003,0.043300314176000006,0.232563903136,-0.385822737227,-0.042224516966000006,-0.080035475738,-0.128990103894,-0.045987050682,0.24533798928000003,41.0,137068707.4668293,-1,6,1,0,6
